"ID";"cond";"count"
6;"A";1
6;"A";2
6;"A";3
6;"A";4
6;"A";5
6;"A";6
6;"A";7
6;"A";8
6;"A";9
6;"A";10
6;"A";11
6;"A";12
6;"A";13
6;"A";14
6;"A";15
6;"A";16
6;"A";17
6;"A";18
6;"A";19
6;"A";20
6;"A";21
6;"A";22
6;"A";23
6;"A";24
6;"A";25
6;"A";26
6;"A";27
6;"A";28
6;"A";29
6;"A";30
6;"A";31
6;"A";32
6;"A";33
6;"A";34
6;"A";35
6;"A";36
6;"A";37
6;"A";38
6;"A";39
6;"A";40
6;"A";41
6;"A";42
6;"A";43
6;"A";44
6;"A";45
6;"A";46
6;"A";47
6;"A";48
6;"A";49
6;"A";50
6;"A";51
6;"A";52
6;"A";53
6;"A";54
6;"A";55
6;"A";56
6;"A";57
6;"A";58
6;"A";59
6;"A";60
6;"A";61
6;"A";62
6;"A";63
6;"A";64
6;"A";65
6;"A";66
6;"A";67
6;"A";68
6;"A";69
6;"A";70
6;"A";71
6;"A";72
6;"A";73
6;"A";74
6;"A";75
6;"A";76
6;"A";77
6;"A";78
6;"A";79
6;"A";80
6;"A";81
6;"A";82
6;"A";83
6;"A";84
6;"A";85
6;"A";86
6;"A";87
6;"A";88
6;"A";89
6;"A";90
6;"A";91
6;"A";92
6;"A";93
6;"A";94
6;"A";95
6;"A";96
6;"A";97
6;"A";98
6;"A";99
6;"A";100
