"ID";"cond";"count"
7;"A";1
7;"A";2
7;"A";3
7;"A";4
7;"A";5
7;"A";6
7;"A";7
7;"A";8
7;"A";9
7;"A";10
7;"A";11
7;"A";12
7;"A";13
7;"A";14
7;"A";15
7;"A";16
7;"A";17
7;"A";18
7;"A";19
7;"A";20
7;"A";21
7;"A";22
7;"A";23
7;"A";24
7;"A";25
7;"A";26
7;"A";27
7;"A";28
7;"A";29
7;"A";30
7;"A";31
7;"A";32
7;"A";33
7;"A";34
7;"A";35
7;"A";36
7;"A";37
7;"A";38
7;"A";39
7;"A";40
7;"A";41
7;"A";42
7;"A";43
7;"A";44
7;"A";45
7;"A";46
7;"A";47
7;"A";48
7;"A";49
7;"A";50
7;"A";51
7;"A";52
7;"A";53
7;"A";54
7;"A";55
7;"A";56
7;"A";57
7;"A";58
7;"A";59
7;"A";60
7;"A";61
7;"A";62
7;"A";63
7;"A";64
7;"A";65
7;"A";66
7;"A";67
7;"A";68
7;"A";69
7;"A";70
7;"A";71
7;"A";72
7;"A";73
7;"A";74
7;"A";75
7;"A";76
7;"A";77
7;"A";78
7;"A";79
7;"A";80
7;"A";81
7;"A";82
7;"A";83
7;"A";84
7;"A";85
7;"A";86
7;"A";87
7;"A";88
7;"A";89
7;"A";90
7;"A";91
7;"A";92
7;"A";93
7;"A";94
7;"A";95
7;"A";96
7;"A";97
7;"A";98
7;"A";99
7;"A";100
