"ID";"cond";"count"
3;"B";1
3;"B";2
3;"B";3
3;"B";4
3;"B";5
3;"B";6
3;"B";7
3;"B";8
3;"B";9
3;"B";10
3;"B";11
3;"B";12
3;"B";13
3;"B";14
3;"B";15
3;"B";16
3;"B";17
3;"B";18
3;"B";19
3;"B";20
3;"B";21
3;"B";22
3;"B";23
3;"B";24
3;"B";25
3;"B";26
3;"B";27
3;"B";28
3;"B";29
3;"B";30
3;"B";31
3;"B";32
3;"B";33
3;"B";34
3;"B";35
3;"B";36
3;"B";37
3;"B";38
3;"B";39
3;"B";40
3;"B";41
3;"B";42
3;"B";43
3;"B";44
3;"B";45
3;"B";46
3;"B";47
3;"B";48
3;"B";49
3;"B";50
3;"B";51
3;"B";52
3;"B";53
3;"B";54
3;"B";55
3;"B";56
3;"B";57
3;"B";58
3;"B";59
3;"B";60
3;"B";61
3;"B";62
3;"B";63
3;"B";64
3;"B";65
3;"B";66
3;"B";67
3;"B";68
3;"B";69
3;"B";70
3;"B";71
3;"B";72
3;"B";73
3;"B";74
3;"B";75
3;"B";76
3;"B";77
3;"B";78
3;"B";79
3;"B";80
3;"B";81
3;"B";82
3;"B";83
3;"B";84
3;"B";85
3;"B";86
3;"B";87
3;"B";88
3;"B";89
3;"B";90
3;"B";91
3;"B";92
3;"B";93
3;"B";94
3;"B";95
3;"B";96
3;"B";97
3;"B";98
3;"B";99
3;"B";100
