"ID";"cond";"count"
2;"B";1
2;"B";2
2;"B";3
2;"B";4
2;"B";5
2;"B";6
2;"B";7
2;"B";8
2;"B";9
2;"B";10
2;"B";11
2;"B";12
2;"B";13
2;"B";14
2;"B";15
2;"B";16
2;"B";17
2;"B";18
2;"B";19
2;"B";20
2;"B";21
2;"B";22
2;"B";23
2;"B";24
2;"B";25
2;"B";26
2;"B";27
2;"B";28
2;"B";29
2;"B";30
2;"B";31
2;"B";32
2;"B";33
2;"B";34
2;"B";35
2;"B";36
2;"B";37
2;"B";38
2;"B";39
2;"B";40
2;"B";41
2;"B";42
2;"B";43
2;"B";44
2;"B";45
2;"B";46
2;"B";47
2;"B";48
2;"B";49
2;"B";50
2;"B";51
2;"B";52
2;"B";53
2;"B";54
2;"B";55
2;"B";56
2;"B";57
2;"B";58
2;"B";59
2;"B";60
2;"B";61
2;"B";62
2;"B";63
2;"B";64
2;"B";65
2;"B";66
2;"B";67
2;"B";68
2;"B";69
2;"B";70
2;"B";71
2;"B";72
2;"B";73
2;"B";74
2;"B";75
2;"B";76
2;"B";77
2;"B";78
2;"B";79
2;"B";80
2;"B";81
2;"B";82
2;"B";83
2;"B";84
2;"B";85
2;"B";86
2;"B";87
2;"B";88
2;"B";89
2;"B";90
2;"B";91
2;"B";92
2;"B";93
2;"B";94
2;"B";95
2;"B";96
2;"B";97
2;"B";98
2;"B";99
2;"B";100
