"ID";"cond";"count"
8;"A";1
8;"A";2
8;"A";3
8;"A";4
8;"A";5
8;"A";6
8;"A";7
8;"A";8
8;"A";9
8;"A";10
8;"A";11
8;"A";12
8;"A";13
8;"A";14
8;"A";15
8;"A";16
8;"A";17
8;"A";18
8;"A";19
8;"A";20
8;"A";21
8;"A";22
8;"A";23
8;"A";24
8;"A";25
8;"A";26
8;"A";27
8;"A";28
8;"A";29
8;"A";30
8;"A";31
8;"A";32
8;"A";33
8;"A";34
8;"A";35
8;"A";36
8;"A";37
8;"A";38
8;"A";39
8;"A";40
8;"A";41
8;"A";42
8;"A";43
8;"A";44
8;"A";45
8;"A";46
8;"A";47
8;"A";48
8;"A";49
8;"A";50
8;"A";51
8;"A";52
8;"A";53
8;"A";54
8;"A";55
8;"A";56
8;"A";57
8;"A";58
8;"A";59
8;"A";60
8;"A";61
8;"A";62
8;"A";63
8;"A";64
8;"A";65
8;"A";66
8;"A";67
8;"A";68
8;"A";69
8;"A";70
8;"A";71
8;"A";72
8;"A";73
8;"A";74
8;"A";75
8;"A";76
8;"A";77
8;"A";78
8;"A";79
8;"A";80
8;"A";81
8;"A";82
8;"A";83
8;"A";84
8;"A";85
8;"A";86
8;"A";87
8;"A";88
8;"A";89
8;"A";90
8;"A";91
8;"A";92
8;"A";93
8;"A";94
8;"A";95
8;"A";96
8;"A";97
8;"A";98
8;"A";99
8;"A";100
